month,priority,suggested_title,seed_keyword,keyword,search_intent,content_type,category,validation_status,status,target_slug,competition_note,memo
4,33,부담부증여 감정평가—무엇이 다른가,부담부증여,부담부증여 감정평가,정보형,개념설명,상속·절세,검증완료,planned,burden-gift-appraisal-difference,니치 롱테일,증여 심화
4,34,상속세 감정평가 수수료 공제될까,상속 감정평가,상속세 감정평가 수수료 공제,비교형,비교정리,상속·절세,검증완료,planned,inheritance-appraisal-fee-deduction,블로그·세무 혼재,자동완성 수수료 공제
4,35,오피스텔 상속·증여 감정평가 체크포인트,오피스텔 상속,오피스텔 감정평가,실행형,체크리스트,상속·절세,검증완료,planned,officetel-inheritance-appraisal-checklist,블로그 혼재,아파트 체크리스트와 구분
4,36,고가주택 증여세—감정평가가 필요한 경우,고가주택 증여세,고가주택 증여세 감정평가,정보형,개념설명,상속·절세,검증완료,planned,luxury-home-gift-tax-appraisal,세무·블로그,seed#7
4,37,기준시가로 증여세 신고해도 될까,기준시가 증여세,기준시가 증여세 감정평가,비교형,비교정리,상속·절세,검증완료,planned,standard-price-gift-tax-appraisal,국세청·블로그,공시가격 상속 글과 증여 각도
4,38,탁상공정가액과 감정평가—언제 무엇을 쓰나,탁상공정,탁상공정가액 감정평가 차이,비교형,비교정리,감정평가 기초,검증완료,planned,desk-appraisal-vs-formal-appraisal,블로그 다수,검색 수요 높음
4,39,증여세 신고 전 감정평가 체크리스트,증여세 신고,증여세 신고 감정평가,실행형,체크리스트,상속·절세,검증완료,planned,gift-tax-filing-appraisal-checklist,블로그·국세청,archive 연관검색 강함
4,40,분양권·입주권 상속 감정평가 개요,분양권,분양권 상속 감정평가,정보형,개념설명,감정평가 기초,검증완료,planned,presale-right-inheritance-appraisal,니치,미커버
4,41,법인 명의 부동산—상속·증여 전 감정평가,법인 부동산,법인 부동산 상속 감정평가,정보형,개념설명,상속·절세,검증완료,planned,corporate-owned-property-inheritance-appraisal,니치,미커버
4,42,채권최고액—감정평가서와 등기에서 보는 법,채권최고액,채권최고액 감정평가,정보형,개념설명,서류·권리,검증완료,planned,mortgage-max-amount-appraisal-report,니치,선순위 담보 글 심화
